,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsSinceLastPromotion,EduField_Dept,Job_Coy,Edu_Age_TotalWorking,CurrMgr_Coy,CurrRole_CurrMgr
30,0,2,924,1,2,3,3,3,0,78,3,2,4,1,2496,6670,4,0,11,3,4,0,3,3,0,1,0.5,0.075,0.0,1.0
31,0,2,1459,1,10,4,5,4,0,41,3,0,4,2,6465,19121,2,1,13,3,4,0,5,4,1,0,0.4,0.07547169811320754,0.6,0.5
32,0,2,125,1,9,2,3,4,0,83,2,2,3,1,2206,16117,1,0,13,3,1,0,5,3,1,1,0.09090909090909091,0.05,0.7272727272727273,0.0
33,1,2,895,2,5,3,4,4,0,56,3,8,4,2,2086,3335,3,0,14,3,3,1,6,4,0,2,1.0,0.05172413793103448,0.0,0.0
34,1,2,813,1,1,3,3,2,0,61,3,6,4,2,2293,3020,2,1,16,3,1,1,2,2,2,1,0.3333333333333333,0.1,0.0,0.0
35,0,2,1273,1,2,2,3,4,0,72,4,6,3,0,2645,21923,1,0,12,3,4,2,3,2,1,1,0.16666666666666666,0.04081632653061224,0.6666666666666666,0.6
36,1,2,869,2,3,2,2,1,0,86,2,8,3,2,2683,3810,1,1,14,3,3,0,2,3,0,1,0.25,0.03773584905660377,0.5,0.6666666666666666
37,0,2,890,2,2,3,2,4,0,97,3,8,4,2,2014,9687,1,0,13,3,1,0,3,3,2,1,0.3333333333333333,0.08108108108108109,0.6666666666666666,0.6666666666666666
38,0,2,852,1,5,4,1,2,0,82,2,6,1,2,3419,13072,9,1,14,3,4,1,3,4,0,1,0.5,0.09523809523809523,0.0,1.0
39,0,1,1141,2,1,3,1,3,0,42,4,7,1,2,5376,3193,2,0,19,3,1,2,3,3,1,2,0.3333333333333333,0.06976744186046512,0.5,0.75
40,0,2,464,1,4,2,5,3,0,75,3,2,4,0,1951,10910,1,0,12,3,3,1,3,3,0,0,0.5,0.05555555555555555,0.0,0.0
41,0,2,1240,1,2,4,1,4,0,33,3,2,1,0,2341,19715,1,0,13,3,4,1,6,3,0,1,0.5,0.14285714285714285,0.0,0.0
42,1,2,1357,1,25,3,1,1,0,48,1,2,3,1,2293,10558,1,0,12,3,3,0,2,2,0,1,0.5,0.1111111111111111,0.5,0.0
43,0,1,994,2,8,3,1,4,0,37,3,7,3,1,8726,2975,1,0,15,3,4,0,0,3,1,2,0.3,0.08333333333333333,0.7,1.0
44,0,1,721,1,1,2,3,3,0,58,3,2,4,1,4011,10781,1,0,23,4,4,0,2,3,3,1,0.15384615384615385,0.047619047619047616,0.5384615384615384,1.0
45,1,2,1360,1,12,3,4,2,0,49,3,5,3,2,19545,16280,1,0,12,3,4,0,0,3,15,1,0.21739130434782608,0.046875,0.34782608695652173,1.6666666666666667
46,0,0,1065,2,23,4,2,2,0,72,3,7,3,1,4568,10034,0,0,20,4,3,0,2,3,8,1,0.2,0.09090909090909091,0.7,0.625
47,0,2,408,1,19,2,1,2,0,73,3,6,2,2,3022,10227,4,0,21,4,1,0,1,3,0,1,0.5,0.044444444444444446,0.0,0.0
48,0,1,1211,2,5,4,2,1,0,98,3,7,4,1,5772,20445,4,1,21,4,3,0,4,3,0,1,0.2,0.06666666666666667,0.8,0.6666666666666666
49,0,2,1229,1,8,1,1,4,0,36,4,2,4,2,2269,4892,1,0,19,3,4,0,2,3,0,1,0.5,0.027777777777777776,0.5,0.0
50,1,2,626,1,1,2,1,1,0,98,2,2,3,1,5381,19294,9,1,13,3,4,0,2,3,0,1,1.5,0.028169014084507043,0.0,0.0
51,1,2,1434,1,5,4,4,3,0,50,3,2,3,1,3441,11179,1,1,13,3,3,0,3,2,2,1,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666
52,0,2,1488,2,1,5,2,2,0,75,3,7,1,0,5454,4009,5,1,21,4,3,1,2,2,1,1,0.4,0.09433962264150944,0.6,0.75
53,0,0,1097,1,11,2,3,3,0,79,2,0,1,2,9884,8302,2,1,13,3,3,1,3,3,2,1,0.6,0.044444444444444446,0.6,0.0
54,0,2,1443,2,23,3,2,3,0,47,2,7,4,2,4157,21436,7,1,19,3,3,1,2,2,0,1,0.6666666666666666,0.0967741935483871,0.0,2.0
55,0,1,515,1,1,2,1,1,0,98,3,5,4,1,13458,15146,1,1,12,3,3,0,1,3,8,1,0.1875,0.041666666666666664,0.75,1.0769230769230769
56,0,1,853,2,18,5,1,2,0,71,3,7,1,2,9069,11031,1,0,22,4,4,1,3,2,1,2,0.3,0.11363636363636363,0.8,0.8888888888888888
57,0,2,1142,1,23,4,3,3,0,30,3,2,1,2,4014,16002,3,1,15,3,3,1,3,3,2,1,0.3333333333333333,0.10256410256410256,0.6666666666666666,0.6666666666666666
58,0,2,655,1,7,4,1,4,0,48,3,2,4,0,5915,9528,3,0,22,4,4,1,3,2,1,1,0.25,0.0975609756097561,0.875,0.875
59,0,2,1115,1,1,4,1,1,0,51,2,4,3,0,5993,2689,1,0,18,3,3,1,2,4,0,1,0.25,0.09090909090909091,0.875,0.625
60,0,2,427,1,1,3,3,1,0,33,3,4,4,2,6162,10877,1,1,22,4,2,1,3,3,7,1,0.2,0.07317073170731707,0.8,0.8888888888888888
61,0,1,653,1,29,5,1,4,0,50,3,2,4,1,2406,5456,1,0,11,3,4,0,2,3,9,1,0.18181818181818182,0.10416666666666667,0.8181818181818182,0.3
62,0,2,989,1,7,2,3,2,0,43,2,5,3,0,18740,16701,5,1,12,3,4,1,2,2,13,1,0.17857142857142858,0.02531645569620253,0.2857142857142857,0.3333333333333333
63,0,2,1435,2,25,3,1,1,0,99,3,7,1,1,7637,2354,7,0,11,3,4,0,3,2,7,2,0.13636363636363635,0.034482758620689655,0.4090909090909091,1.6
64,0,2,1223,1,8,3,4,3,0,59,3,0,3,0,10096,8202,1,0,13,3,2,3,2,3,12,1,0.16666666666666666,0.05660377358490566,0.4444444444444444,1.5555555555555556
65,0,2,836,1,8,3,3,4,0,33,3,3,3,0,14756,19730,2,1,14,3,3,3,2,3,0,1,0.6666666666666666,0.039473684210526314,0.3333333333333333,0.0
66,0,1,1195,1,11,3,1,2,0,95,2,4,2,1,6499,22656,1,0,13,3,3,0,3,3,0,1,0.2857142857142857,0.07142857142857142,0.42857142857142855,1.25
67,0,2,1339,1,7,3,1,2,0,59,3,6,1,0,9724,18787,2,0,17,3,3,1,2,3,0,1,1.5,0.04285714285714286,0.0,0.0
68,0,1,664,1,1,3,3,2,0,79,3,6,1,2,2194,5868,4,0,13,3,4,1,2,2,1,1,0.25,0.075,0.5,0.6666666666666666
69,1,2,318,1,9,3,3,4,0,79,2,6,3,2,3388,21777,0,1,17,3,1,1,0,2,0,1,0.5,0.07894736842105263,0.0,0.0
70,0,1,1225,2,1,1,1,1,0,57,2,7,3,1,5473,24668,7,0,11,3,4,0,2,2,1,2,0.4,0.012658227848101266,0.6,0.75
71,0,2,1328,1,2,3,1,3,0,76,3,6,2,2,2703,4956,0,0,23,4,4,1,3,3,0,1,0.16666666666666666,0.08571428571428572,0.6666666666666666,0.8
72,0,2,1082,1,1,4,3,3,0,87,3,6,2,1,2501,18775,1,0,17,3,2,0,4,3,1,1,0.5,0.125,0.0,1.0
73,0,2,548,1,1,3,1,2,0,66,3,6,2,2,6220,7346,1,0,17,3,2,2,3,3,0,1,0.18181818181818182,0.07142857142857142,0.8181818181818182,0.4
74,0,2,132,1,6,3,1,2,0,55,4,2,4,2,3038,22002,3,0,12,3,2,0,3,3,0,1,0.5,0.07317073170731707,0.0,0.0
75,0,2,746,1,8,4,1,3,0,61,3,4,4,1,4424,20682,1,0,23,4,4,0,2,3,1,1,0.16666666666666666,0.09523809523809523,0.6666666666666666,0.7777777777777778
76,0,2,776,2,1,4,2,3,0,32,2,7,1,1,4312,23016,0,0,14,3,2,0,2,3,2,1,0.125,0.0784313725490196,0.5,1.4444444444444444
77,0,2,193,1,6,4,5,4,0,52,3,5,1,2,13245,15067,4,1,14,3,2,0,3,4,0,0,3.0,0.06451612903225806,0.0,0.0
78,0,2,397,1,7,4,3,1,0,30,3,5,3,1,13664,25258,4,0,13,3,1,0,3,4,0,1,0.5,0.07547169811320754,0.3333333333333333,0.6666666666666666
79,0,2,945,0,5,2,3,2,0,80,3,1,2,0,5021,10425,8,1,22,4,4,1,2,3,0,0,0.4,0.03225806451612903,0.4,0.6666666666666666
80,0,2,852,1,1,1,1,4,0,55,2,2,4,2,5126,15998,1,1,12,3,3,2,1,2,3,1,0.18181818181818182,0.025,0.0,8.0
81,0,2,1214,1,1,3,3,2,0,30,2,6,3,1,2859,26278,1,0,18,3,1,0,3,3,0,1,0.14285714285714285,0.07317073170731707,0.5714285714285714,0.8
82,0,2,111,2,1,2,1,1,0,70,3,7,4,2,10239,18092,3,0,14,3,4,1,4,3,1,2,1.5,0.02531645569620253,0.0,0.0
83,0,0,573,1,6,3,3,2,0,79,1,6,4,0,5329,15717,7,1,12,3,4,3,3,3,1,1,0.14285714285714285,0.05454545454545454,0.6428571428571429,1.1
84,0,2,1153,1,1,2,3,1,0,94,3,4,2,2,4325,17736,1,0,15,3,3,0,2,3,1,1,0.3333333333333333,0.05128205128205128,0.5,0.5
85,0,2,1400,1,7,3,1,4,0,49,1,4,4,1,7260,21698,4,0,11,3,1,0,3,2,0,1,0.42857142857142855,0.03225806451612903,0.2857142857142857,1.3333333333333333
86,0,2,541,2,2,1,4,3,0,62,3,8,1,0,2322,9518,3,0,13,3,3,1,3,3,0,2,1.0,0.038461538461538464,0.0,0.0
87,0,2,432,1,9,4,1,4,0,96,3,2,4,2,2075,18725,3,0,23,4,2,2,4,3,0,1,0.2,0.06557377049180328,0.6,0.5
88,0,2,288,1,2,3,1,3,0,99,2,0,4,2,4152,15830,1,0,19,3,1,3,3,3,10,1,0.16666666666666666,0.07317073170731707,0.6666666666666666,1.1111111111111112
89,1,2,669,2,9,2,3,3,0,64,2,7,4,1,9619,13596,1,0,16,3,4,0,3,3,4,2,0.3,0.03636363636363636,0.7,1.0
90,0,1,530,1,1,4,1,3,0,78,2,0,2,2,13503,14115,1,0,22,4,4,1,3,2,11,1,0.17391304347826086,0.06451612903225806,0.4782608695652174,0.25
91,0,2,632,2,21,4,2,3,0,71,3,7,4,1,5441,8423,0,1,22,4,4,0,2,1,1,1,0.18181818181818182,0.06451612903225806,0.0,7.0
92,0,2,1334,2,4,2,3,3,0,63,2,7,2,0,5209,19760,1,1,12,3,2,3,4,2,2,2,0.16666666666666666,0.04878048780487805,0.5833333333333334,1.0
93,0,1,638,1,1,3,3,3,0,40,2,0,1,2,10673,3142,2,1,13,3,3,1,5,2,9,1,0.2727272727272727,0.04477611940298507,0.45454545454545453,1.5
94,0,2,1093,2,6,4,3,2,0,87,3,7,3,1,5010,24301,1,0,16,3,1,0,0,3,5,2,0.16666666666666666,0.09090909090909091,0.5833333333333334,1.0
95,0,2,1217,1,2,4,4,1,0,60,3,5,3,2,13549,24001,9,0,12,3,1,1,5,1,0,1,0.6,0.05714285714285714,0.6,0.75
96,0,2,1353,2,3,2,5,1,0,33,3,7,3,2,4999,17519,0,0,21,4,1,1,2,2,0,0,0.5,0.07142857142857142,0.5,0.6666666666666666
97,0,0,120,2,4,3,3,2,0,43,3,7,3,2,4221,8863,1,0,15,3,2,0,3,4,0,2,0.3333333333333333,0.09090909090909091,0.6666666666666666,0.8
98,0,2,682,2,10,4,3,4,0,37,3,7,3,1,13872,24409,0,0,13,3,3,0,1,2,1,2,0.10526315789473684,0.041666666666666664,0.21052631578947367,1.1111111111111112
99,0,0,489,1,23,3,3,2,0,67,3,2,2,2,2042,25043,4,0,12,3,3,1,3,4,1,1,0.5,0.04918032786885246,0.5,0.6666666666666666
100,1,2,807,0,6,4,0,3,0,63,3,1,1,0,2073,23648,4,1,22,4,4,0,3,3,0,1,0.25,0.09090909090909091,0.5,0.6666666666666666
101,0,2,827,1,1,1,1,4,0,71,3,6,1,1,2956,15178,1,0,13,3,4,0,2,3,0,1,0.5,0.030303030303030304,0.0,0.0
102,1,1,871,1,6,3,1,4,0,66,2,2,4,1,2926,19783,1,1,18,3,2,0,5,3,1,1,0.5,0.14285714285714285,0.0,0.0
103,0,2,665,1,6,4,5,1,0,41,3,6,3,1,4809,12482,1,0,14,3,3,0,3,3,2,0,0.11764705882352941,0.08,0.5882352941176471,1.1818181818181819
104,0,0,1040,1,2,2,1,3,0,100,2,0,4,0,5163,15850,5,0,14,3,4,1,2,4,0,1,1.0,0.037037037037037035,0.0,0.0
105,0,0,1420,0,2,4,0,3,0,32,2,3,4,2,18844,21922,9,0,21,4,4,1,3,3,2,1,1.25,0.0449438202247191,0.5,0.6666666666666666
106,0,1,1115,1,1,3,1,1,0,73,3,5,2,2,18172,9755,3,1,19,3,1,0,1,2,0,1,0.5555555555555556,0.038461538461538464,0.7777777777777778,0.375
107,1,2,240,2,5,3,2,3,0,46,2,7,3,1,5744,26959,1,1,11,3,4,0,1,3,0,1,0.2857142857142857,0.0967741935483871,0.42857142857142855,1.0
108,0,2,1280,1,7,1,3,4,0,64,2,6,4,2,2889,26897,1,0,11,3,3,2,2,3,2,1,0.3333333333333333,0.037037037037037035,0.3333333333333333,1.0
109,0,2,534,1,15,3,3,2,0,59,3,2,4,1,2871,23785,1,0,15,3,3,0,5,3,0,1,1.0,0.13043478260869565,0.0,0.0
110,0,1,1456,1,1,4,3,1,0,30,2,0,1,1,7484,25796,3,0,20,4,3,0,1,2,12,1,0.21428571428571427,0.05405405405405406,0.5714285714285714,1.3333333333333333
111,1,1,658,1,7,3,1,1,0,66,1,2,3,1,6074,22887,1,1,24,4,4,0,3,3,0,1,0.2,0.06976744186046512,0.6,1.0
112,0,0,142,0,26,3,0,4,0,30,4,3,4,1,17328,13871,2,1,12,3,3,0,3,3,4,1,0.6666666666666666,0.03896103896103896,0.6666666666666666,0.6
113,0,2,1127,1,18,1,1,2,0,52,3,2,3,2,2774,13257,0,0,12,3,3,1,2,3,1,1,0.16666666666666666,0.03333333333333333,0.3333333333333333,1.0
114,0,2,1031,1,6,4,1,3,0,45,2,6,2,0,4505,15000,6,0,15,3,3,1,3,3,0,1,1.0,0.08695652173913043,0.0,0.0
115,0,2,1189,2,3,3,1,3,0,87,3,7,4,1,7428,14506,2,0,12,3,1,0,3,3,1,2,0.5,0.061224489795918366,0.5,0.75
116,0,2,1354,1,5,3,3,3,0,45,2,3,1,1,11631,5615,2,0,12,3,4,0,6,3,5,1,0.25,0.0625,0.6666666666666666,1.1111111111111112
117,0,1,1467,2,11,2,4,2,0,92,3,7,4,2,9738,22952,0,0,14,3,3,1,6,3,2,2,0.3,0.043478260869565216,0.8,0.7777777777777778
118,0,2,922,1,3,2,1,1,0,39,3,2,4,0,2835,2561,5,0,22,4,1,1,2,3,0,1,0.5,0.046511627906976744,0.0,0.0
119,0,1,394,2,26,2,1,3,0,92,3,3,4,2,16959,19494,1,1,12,3,4,2,3,4,4,2,0.15384615384615385,0.029411764705882353,0.46153846153846156,0.9230769230769231
120,0,1,1312,1,23,3,1,1,0,96,1,6,3,0,2613,22310,1,0,25,4,3,3,2,2,0,1,0.09090909090909091,0.075,0.8181818181818182,0.7
121,0,0,750,2,22,2,2,3,0,95,3,7,2,2,6146,15480,0,0,13,3,1,1,2,4,0,1,0.25,0.04878048780487805,0.875,0.875
122,1,2,441,1,14,4,1,2,0,72,3,6,2,2,4963,4510,9,1,18,3,1,3,2,3,4,1,0.16666666666666666,0.06349206349206349,0.5,1.0
123,0,2,684,1,6,3,1,1,0,51,3,5,3,1,19537,6462,7,0,13,3,3,0,5,3,15,1,0.23809523809523808,0.04054054054054054,0.7142857142857143,1.125
124,1,2,249,2,6,4,1,2,0,76,1,7,3,2,6172,20739,4,1,18,3,2,0,3,2,7,2,0.25,0.09302325581395349,0.875,0.875
125,0,2,841,1,6,3,5,3,0,46,2,6,2,2,2368,23300,1,0,19,3,3,0,3,2,4,0,0.16666666666666666,0.0967741935483871,0.5,1.0
126,1,2,147,1,23,4,3,4,0,94,3,0,4,2,10312,3465,1,0,12,3,4,1,3,2,15,1,0.07317073170731707,0.04081632653061224,0.14634146341463414,1.4285714285714286
127,1,2,528,2,22,1,2,4,0,50,3,8,3,1,1675,26820,1,1,19,3,4,0,2,2,0,1,1.0,0.05263157894736842,0.0,0.0
128,0,2,594,1,2,1,4,3,0,100,3,2,4,2,2523,19299,0,0,14,3,3,1,2,3,2,1,0.3333333333333333,0.04,0.3333333333333333,0.5
129,0,2,470,1,20,4,3,3,0,96,3,4,1,2,6567,5549,1,0,14,3,3,0,2,2,5,1,0.125,0.06153846153846154,0.6875,0.9166666666666666
130,0,1,957,1,28,3,3,2,0,72,4,6,3,1,4739,16090,4,0,12,3,4,0,2,3,1,1,0.25,0.04918032786885246,0.5,0.6666666666666666
131,0,1,809,2,12,3,2,3,0,77,3,7,4,1,9208,6645,4,0,11,3,4,0,3,3,2,1,1.0,0.045454545454545456,0.3333333333333333,1.0
132,1,2,542,2,20,3,1,2,0,71,1,7,3,2,4559,24788,3,1,11,3,3,1,2,3,2,2,0.6666666666666666,0.08571428571428572,0.6666666666666666,0.6666666666666666
133,0,2,802,2,9,1,1,3,0,96,3,7,3,0,8189,21196,3,1,13,3,3,1,2,3,0,2,0.3,0.018867924528301886,0.7,0.875
134,0,2,1355,0,25,1,1,3,0,61,3,1,3,2,2942,8916,1,0,23,4,4,1,3,3,5,0,0.1111111111111111,0.029411764705882353,0.7777777777777778,0.875
135,0,2,216,1,6,2,3,2,0,84,3,4,2,0,4941,2819,6,0,20,4,4,2,0,3,0,1,0.5,0.046511627906976744,0.25,1.0
136,1,1,1150,1,8,4,1,1,0,53,1,4,4,1,10650,25150,2,0,15,3,4,0,2,3,0,1,0.6,0.057971014492753624,0.6,0.5
137,0,2,1329,2,4,4,1,4,0,47,2,7,3,2,5902,14590,4,0,14,3,3,1,1,4,5,2,0.125,0.07142857142857142,0.5625,1.1
138,0,2,959,2,28,3,1,1,0,41,2,7,3,2,8639,24835,2,0,18,3,4,0,3,3,2,2,0.6666666666666666,0.0967741935483871,0.6666666666666666,0.6666666666666666
139,0,2,1240,0,9,3,0,3,0,48,3,1,4,2,6347,13982,0,1,19,3,4,0,2,1,4,1,0.16666666666666666,0.07142857142857142,0.5833333333333334,1.125
140,1,2,1033,1,9,3,3,1,0,41,3,2,1,1,4200,10224,7,0,22,4,1,0,2,4,0,1,0.16666666666666666,0.07142857142857142,0.6666666666666666,0.8
141,0,2,1316,1,29,3,3,3,0,83,3,6,4,1,3452,9752,5,0,13,3,2,0,2,2,0,1,0.14285714285714285,0.05555555555555555,0.42857142857142855,1.25
142,0,2,364,1,3,5,4,4,0,32,3,6,3,1,4317,2302,3,1,20,4,2,0,2,3,2,1,0.5,0.08771929824561403,0.5,0.6666666666666666
143,0,2,438,1,18,3,1,1,0,75,3,6,3,1,2632,23910,1,0,14,3,3,0,4,2,0,1,0.16666666666666666,0.08571428571428572,0.6666666666666666,0.8
144,0,1,689,2,9,2,3,4,0,35,1,7,4,0,4668,22812,0,0,17,3,4,3,2,4,0,2,0.2222222222222222,0.04878048780487805,0.7777777777777778,0.875
145,0,2,201,1,5,3,4,4,0,84,3,6,1,0,3204,10415,5,0,14,3,4,1,3,3,2,1,0.25,0.07894736842105263,0.5,0.6666666666666666
146,0,2,1427,1,2,1,3,2,0,35,2,2,4,1,2720,11162,0,0,13,3,4,0,3,3,1,1,0.16666666666666666,0.027777777777777776,0.3333333333333333,1.0
147,0,1,857,1,10,3,1,4,0,91,2,3,1,0,17181,12888,4,0,13,3,2,1,2,2,7,1,0.5,0.04838709677419355,0.875,0.75
148,0,2,933,1,9,4,1,3,0,94,3,2,1,2,2238,6961,2,0,21,4,4,1,2,3,1,1,0.16666666666666666,0.08333333333333333,0.6666666666666666,0.0
149,0,2,1181,1,3,1,3,2,0,79,3,2,2,1,1483,16102,1,0,14,3,4,0,3,3,0,1,0.5,0.05,0.0,0.0
150,0,1,1395,1,26,3,3,2,0,54,3,6,2,0,5605,8504,1,0,11,3,1,1,2,3,2,1,0.09523809523809523,0.05,0.6190476190476191,0.5
151,0,2,662,2,1,5,2,3,0,94,3,7,2,2,7295,11439,1,0,13,3,1,2,3,3,0,1,0.2727272727272727,0.1111111111111111,0.5454545454545454,1.1428571428571428
152,0,2,1436,2,6,2,2,2,0,34,3,8,3,2,2306,16047,2,1,20,4,4,1,3,1,4,1,0.25,0.030303030303030304,0.625,1.1666666666666667
153,0,2,194,1,9,3,1,2,0,60,3,2,2,0,2348,10901,8,0,18,3,3,1,2,1,0,1,0.1111111111111111,0.046153846153846156,0.8333333333333334,0.5625
154,0,1,967,2,8,3,2,2,0,43,3,7,4,1,8998,15589,1,0,14,3,4,0,2,3,3,1,0.3,0.07317073170731707,0.7,1.0
155,0,0,1496,1,1,1,4,4,0,41,3,4,3,2,4319,26283,1,0,13,3,1,1,1,3,0,1,0.18181818181818182,0.02564102564102564,0.8181818181818182,0.7
156,0,2,1169,1,7,4,3,2,0,34,2,4,3,2,6132,13983,2,0,17,3,3,0,2,3,0,1,1.0,0.06557377049180328,0.0,0.0
157,0,2,1145,1,9,3,3,2,0,75,2,6,2,2,3346,11873,4,1,20,4,2,1,3,2,0,1,0.5,0.04477611940298507,0.0,0.0
158,0,2,630,2,4,4,2,3,0,67,2,7,4,2,10855,8552,7,0,11,3,1,1,2,2,2,1,0.23076923076923078,0.07272727272727272,0.8461538461538461,0.9166666666666666
159,0,1,303,2,2,4,2,3,0,75,3,8,3,2,2231,11314,6,0,18,3,4,1,3,3,1,1,0.2,0.1,0.4,1.0
160,0,2,1256,1,19,1,3,3,0,80,3,6,4,2,2323,11992,1,0,24,4,1,2,6,3,2,1,0.3333333333333333,0.041666666666666664,0.6666666666666666,0.6666666666666666
161,0,0,691,1,9,3,3,4,0,57,3,6,2,0,2024,5970,6,0,18,3,4,1,1,1,2,1,0.3333333333333333,0.09090909090909091,0.6666666666666666,0.6666666666666666
